Episode No.,Run0steps,Run1steps,Run2steps,Run3steps,
825,200,200,42,200,
826,200,200,43,200,
827,200,200,183,29,
828,41,200,200,17,
829,16,200,138,88,
830,200,200,84,19,
831,159,200,21,18,
832,82,200,200,17,
833,76,200,200,35,
834,198,200,12,82,
835,200,200,53,123,
836,18,200,111,16,
837,55,200,200,38,
838,22,200,200,38,
839,200,200,200,200,
840,200,200,200,70,
841,200,200,200,57,
842,200,200,200,200,
843,200,200,200,38,
844,200,200,200,200,
845,200,200,85,200,
846,200,200,200,200,
847,122,200,103,200,
848,10,200,200,200,
849,151,200,200,200,
850,88,200,200,200,
851,144,60,200,200,
852,200,200,200,200,
853,20,200,200,200,
854,40,200,200,200,
855,185,200,200,92,
856,38,200,200,200,
857,106,200,200,200,
858,61,200,200,200,
859,200,200,200,200,
860,200,200,200,200,
861,200,200,200,43,
862,200,200,200,200,
863,200,200,200,200,
864,200,200,200,200,
865,200,200,200,200,
866,192,200,200,200,
867,149,200,200,200,
868,49,200,200,200,
869,18,200,200,200,
870,83,200,200,200,
871,62,200,32,200,
872,143,200,14,200,
873,61,200,10,200,
874,102,200,72,200,
875,18,200,19,200,
876,116,200,11,200,
877,127,200,119,200,
878,124,200,30,190,
879,17,200,48,25,
880,200,200,92,136,
881,200,200,129,67,
882,200,200,49,75,
883,200,200,200,15,
884,200,200,200,22,
885,200,200,200,17,
886,200,200,67,82,
887,200,200,100,84,
888,200,200,200,200,
889,200,200,200,200,
890,196,200,200,107,
891,23,200,60,13,
892,9,200,200,25,
893,37,200,200,36,
894,28,200,200,73,
895,10,200,200,125,
896,18,200,200,38,
897,200,200,200,45,
898,105,200,47,18,
899,195,200,11,23,
900,65,200,200,33,
901,26,200,200,47,
902,75,200,200,200,
903,24,200,101,200,
904,48,200,22,200,
905,170,200,200,200,
906,200,200,200,200,
907,200,200,200,200,
908,35,200,200,200,
909,81,200,200,24,
910,125,145,200,26,
911,22,17,200,200,
912,78,13,200,19,
913,21,35,200,30,
914,24,65,200,31,
915,13,200,200,33,
916,14,79,200,41,
917,25,28,200,108,
918,11,26,200,41,
919,13,44,200,200,
920,82,11,200,200,
921,176,13,200,150,
922,82,12,200,200,
923,200,58,200,200,
924,73,88,200,200,
925,200,10,200,200,
926,44,24,200,200,
927,94,11,200,191,
928,65,39,200,200,
929,113,29,200,200,
930,32,15,200,200,
931,77,55,200,200,
932,77,15,200,200,
933,34,34,76,200,
934,200,200,54,200,
935,16,200,200,200,
936,29,200,200,200,
937,14,32,33,200,
